sector,category,activity,units,type
1A1a_Electricity-public,combustion,Energy_Combustion,kt,comb
1A1a_Electricity-autoproducer,combustion,Energy_Combustion,kt,comb
1A1a_Heat-production,combustion,Energy_Combustion,kt,comb
1A1bc_Other-transformation,other,pop,1000,NC
1A1bc_Other-feedstocks,other,pop,kt,NC
1A2a_Ind-Comb-Iron-steel,combustion,Energy_Combustion,kt,comb
1A2b_Ind-Comb-Non-ferrous-metals,combustion,Energy_Combustion,kt,comb
1A2c_Ind-Comb-Chemicals,combustion,Energy_Combustion,kt,comb
1A2d_Ind-Comb-Pulp-paper,combustion,Energy_Combustion,kt,comb
1A2e_Ind-Comb-Food-tobacco,combustion,Energy_Combustion,kt,comb
1A2f_Ind-Comb-Non-metalic-minerals,combustion,Energy_Combustion,kt,comb
1A2g_Ind-Comb-Construction,combustion,Energy_Combustion,kt,comb
1A2g_Ind-Comb-transpequip,combustion,Energy_Combustion,kt,comb
1A2g_Ind-Comb-machinery,combustion,Energy_Combustion,kt,comb
1A2g_Ind-Comb-mining-quarying,combustion,Energy_Combustion,kt,comb
1A2g_Ind-Comb-wood-products,combustion,Energy_Combustion,kt,comb
1A2g_Ind-Comb-textile-leather,combustion,Energy_Combustion,kt,comb
1A2g_Ind-Comb-other,combustion,Energy_Combustion,kt,comb
1A3ai_International-aviation,combustion,Energy_Combustion,kt,comb
1A3aii_Domestic-aviation,combustion,Energy_Combustion,kt,comb
1A3b_Road,combustion,Energy_Combustion,kt,comb
1A3c_Rail,combustion,Energy_Combustion,kt,comb
1A3di_Oil_Tanker_Loading,combustion,pop,kt,NC
1A3di_International-shipping,combustion,Energy_Combustion,kt,comb
1A3dii_Domestic-navigation,combustion,Energy_Combustion,kt,comb
1A3eii_Other-transp,combustion,Energy_Combustion,kt,comb
1A4a_Commercial-institutional,combustion,Energy_Combustion,kt,comb
1A4b_Residential,combustion,Energy_Combustion,kt,comb
1A4c_Agriculture-forestry-fishing,combustion,Energy_Combustion,kt,comb
1A5_Other-unspecified,combustion,Energy_Combustion,kt,comb
1B1_Fugitive-solid-fuels,process,pop,1000,NC
1B2_Fugitive-petr-and-gas,process,refinery-and-natural-gas,kt,NC
1B2d_Fugitive-other-energy,process,refinery-and-natural-gas,kt,NC
2A1_Cement-production,process,pop,1000,NC
2A2_Lime-production,process,pop,1000,NC
2A6_Other-minerals,process,pop,1000,NC
2B_Chemical-industry,process,pop,1000,NC
2C_Metal-production,process,pop,1000,NC
2D_Degreasing-Cleaning,process,pop,1000,NC
2D3_Other-product-use,process,pop,1000,NC
2D_Paint-application,process,pop,1000,NC
2D3_Chemical-products-manufacture-processing,process,pop,1000,NC
2H_Pulp-and-paper-food-beverage-wood,process,pop,1000,NC
2L_Other-process-emissions,process,pop,1000,NC
3B_Manure-management,process,pop,1000,NC
3D_Soil-emissions,process,pop,1000,NC
3I_Agriculture-other,process,pop,1000,NC
3D_Rice-Cultivation,process,pop,1000,NC
3E_Enteric-fermentation,process,pop,1000,NC
3F_Agricultural-residue-burning-on-fields,process,pop,1000,NC
5A_Solid-waste-disposal,process,pop,1000,NC
5E_Other-waste-handling,process,pop,1000,NC
5C_Waste-incineration,process,pulp_paper_consumption,kt,NC
6A_Other-in-total,process,pop,1000,NC
5D_Wastewater-handling,process,pop,1000,NC
6B_Other-not-in-total,process,pop,1000,NC
7A_Fossil-fuel-fires,process,pop,1000,NC
11A_Volcanoes,process,pop,1000,NC
11B_Forest-fires,process,pop,1000,NC
11C_Other-natural,process,pop,1000,NC
